created_at,entry_id,field1,field2,field3,field4,field5,latitude,longitude,elevation,status
2019-11-20 18:27:17 +08,349,29.40,79.50,3.23,2,"10

",,,,
2019-11-20 18:40:07 +08,350,29.40,80.80,3.32,2,"10

",,,,
2019-11-20 18:42:12 +08,351,29.40,80.80,3.23,2,"10

",,,,
2019-11-20 18:46:17 +08,352,29.40,80.50,3.23,2,"10

",,,,
2019-11-20 18:47:18 +08,353,29.40,80.30,3.32,2,"10

",,,,
2019-11-20 18:51:33 +08,354,29.40,80.20,3.23,2,"10

",,,,
2019-11-20 18:58:51 +08,355,29.40,80.30,3.32,2,"10

",,,,
2019-11-20 18:59:53 +08,356,29.40,80.20,4.01,2,"10

",,,,
2019-11-20 19:00:54 +08,357,29.40,80.10,3.32,2,"10

",,,,
2019-11-20 19:04:59 +08,358,29.40,80.00,3.32,2,"10

",,,,
2019-11-20 19:08:07 +08,359,29.40,80.00,3.32,2,"10

",,,,
2019-11-20 19:13:19 +08,360,29.40,80.10,3.32,2,"10

",,,,
2019-11-20 19:17:30 +08,361,29.40,80.40,3.23,2,"10

",,,,
2019-11-20 19:29:02 +08,362,29.30,80.70,3.32,2,"10

",,,,
2019-11-20 19:31:05 +08,363,29.40,80.70,3.32,2,"10

",,,,
2019-11-20 19:34:15 +08,364,29.30,80.60,3.23,2,"10

",,,,
2019-11-20 19:35:16 +08,365,29.30,80.60,3.23,2,"10

",,,,
2019-11-20 19:36:18 +08,366,29.30,80.60,3.32,2,"10

",,,,
2019-11-20 19:38:21 +08,367,29.30,80.60,3.23,2,"10

",,,,
2019-11-20 19:48:48 +08,368,29.00,81.10,3.32,2,"10

",,,,
2019-11-20 19:52:58 +08,369,29.00,81.30,3.23,2,"10

",,,,
2019-11-20 19:58:04 +08,370,28.90,80.90,3.13,2,"10

",,,,
2019-11-20 20:06:14 +08,371,28.80,81.60,3.13,2,"10

",,,,
2019-11-20 20:07:16 +08,372,28.90,81.50,3.13,2,"10

",,,,
2019-11-20 20:08:17 +08,373,28.90,81.30,3.71,4,"20

",,,,
2019-11-20 20:09:21 +08,374,28.90,81.00,2.93,8,"40

",,,,
2019-11-20 20:11:24 +08,375,28.80,80.30,2.93,8,"40

",,,,
2019-11-20 20:16:32 +08,376,28.90,81.70,2.64,8,"40

",,,,
2019-11-20 20:17:33 +08,377,28.90,81.70,2.64,8,"40

",,,,
2019-11-20 20:22:43 +08,378,29.00,81.80,2.64,7,"30

",,,,
2019-11-20 20:24:46 +08,379,29.00,82.10,2.64,7,"30

",,,,
2019-11-20 20:31:04 +08,380,29.00,81.40,2.64,8,"40

",,,,
2019-11-20 20:32:05 +08,381,29.00,81.20,2.64,8,"40

",,,,
2019-11-20 20:35:10 +08,382,29.00,81.50,2.64,8,"40

",,,,
2019-11-20 20:36:12 +08,383,29.00,81.60,2.64,8,"40

",,,,
2019-11-20 20:37:13 +08,384,29.00,81.80,2.54,8,"40

",,,,
2019-11-20 20:39:16 +08,385,29.00,82.10,2.64,8,"40

",,,,
2019-11-20 20:41:18 +08,386,29.00,82.00,2.54,8,"40

",,,,
2019-11-20 20:45:28 +08,387,29.10,82.20,2.64,9,"40

",,,,
2019-11-20 20:46:32 +08,388,29.10,82.10,2.64,9,"40

",,,,
2019-11-20 20:48:35 +08,389,29.00,81.30,2.64,9,"40

",,,,
2019-11-20 20:55:54 +08,390,28.90,83.10,2.54,9,"40

",,,,
2019-11-20 20:56:55 +08,391,28.80,82.00,2.54,9,"40

",,,,
2019-11-20 21:01:00 +08,392,28.70,82.10,2.54,9,"40

",,,,
2019-11-20 21:03:03 +08,393,28.70,82.30,2.54,9,"40

",,,,
2019-11-20 21:04:04 +08,394,28.80,82.40,2.54,9,"40

",,,,
2019-11-20 21:06:07 +08,395,28.80,82.50,2.54,9,"40

",,,,
2019-11-20 21:09:16 +08,396,28.90,82.40,2.64,9,"40

",,,,
2019-11-20 21:10:18 +08,397,28.90,82.30,2.54,9,"40

",,,,
2019-11-20 21:15:28 +08,398,29.00,82.10,2.64,9,"40

",,,,
2019-11-20 21:17:34 +08,399,29.10,82.10,2.54,9,"40

",,,,
2019-11-20 21:21:39 +08,400,29.10,82.10,2.54,9,"40

",,,,
2019-11-20 21:22:44 +08,401,29.10,82.10,2.64,9,"40

",,,,
2019-11-20 21:26:50 +08,402,29.10,82.10,2.54,9,"40

",,,,
2019-11-20 21:27:51 +08,403,29.10,82.10,2.54,9,"40

",,,,
2019-11-20 21:33:08 +08,404,29.10,82.20,3.03,9,"40

",,,,
2019-11-20 21:45:46 +08,405,29.10,82.10,2.64,9,"40

",,,,
2019-11-20 21:54:11 +08,406,29.20,82.20,2.54,9,"40

",,,,
2019-11-20 21:56:14 +08,407,29.20,82.20,2.54,9,"40

",,,,
2019-11-20 22:06:29 +08,408,29.30,82.30,2.64,9,"40

",,,,
2019-11-20 22:07:31 +08,409,29.30,82.30,2.54,9,"40

",,,,
2019-11-20 22:32:40 +08,410,29.30,82.10,2.54,8,"40

",,,,
2019-11-20 22:35:44 +08,411,29.30,82.10,2.54,9,"40

",,,,
2019-11-20 22:39:58 +08,412,29.30,82.10,2.54,9,"40

",,,,
2019-11-20 22:40:59 +08,413,29.30,82.00,2.54,9,"40

",,,,
2019-11-20 22:42:04 +08,414,29.30,82.10,2.54,9,"40

",,,,
2019-11-20 22:44:08 +08,415,29.30,82.10,3.03,9,"40

",,,,
2019-11-20 22:46:11 +08,416,29.30,82.10,2.54,9,"40

",,,,
2019-11-20 23:40:18 +08,417,29.30,82.70,6.35,14,"70

",,,,
2019-11-20 23:41:20 +08,418,29.20,82.60,4.69,14,"70

",,,,
2019-11-21 00:01:24 +08,419,29.20,82.40,4.20,14,"70

",,,,
2019-11-21 00:03:27 +08,420,29.20,82.30,4.40,14,"70

",,,,
2019-11-21 00:05:29 +08,421,29.20,82.50,4.69,14,"70

",,,,
2019-11-21 00:06:30 +08,422,29.20,82.40,4.20,14,"70

",,,,
2019-11-21 00:08:36 +08,423,29.10,82.30,3.81,14,"70

",,,,
2019-11-21 00:09:38 +08,424,29.10,82.20,3.23,14,"70

",,,,
2019-11-21 00:19:13 +08,425,29.20,82.40,3.03,14,"70

",,,,
2019-11-21 00:20:14 +08,426,29.20,82.40,3.13,14,"70

",,,,
2019-11-21 00:21:16 +08,427,29.20,82.40,4.01,14,"70

",,,,
2019-11-21 00:22:21 +08,428,29.20,82.30,4.01,14,"70

",,,,
2019-11-21 00:24:24 +08,429,29.20,82.30,3.52,14,"70

",,,,
2019-11-21 00:25:26 +08,430,29.20,82.20,3.52,14,"70

",,,,
2019-11-21 00:27:31 +08,431,29.20,82.20,3.91,14,"70

",,,,
2019-11-21 00:30:35 +08,432,29.20,82.20,3.52,14,"70

",,,,
2019-11-21 00:31:36 +08,433,29.20,82.20,3.81,14,"70

",,,,
2019-11-21 00:34:40 +08,434,29.20,82.20,4.99,15,"70

",,,,
2019-11-21 00:36:45 +08,435,29.20,82.20,4.99,15,"70

",,,,
2019-11-21 00:38:48 +08,436,29.20,82.20,5.57,15,"70

",,,,
2019-11-21 00:39:53 +08,437,29.20,82.20,5.08,15,"70

",,,,
2019-11-21 00:42:56 +08,438,29.20,82.20,4.99,15,"70

",,,,
2019-11-21 00:53:41 +08,439,29.20,82.10,4.69,15,"70

",,,,
2019-11-21 00:54:42 +08,440,29.30,82.20,4.89,15,"70

",,,,
2019-11-21 00:55:44 +08,441,29.30,82.20,5.18,15,"70

",,,,
2019-11-21 00:59:51 +08,442,29.20,82.10,5.28,15,"70

",,,,
2019-11-21 01:01:54 +08,443,29.20,82.10,4.50,15,"70

",,,,
2019-11-21 01:03:56 +08,444,29.20,82.10,4.40,15,"70

",,,,
2019-11-21 01:06:02 +08,445,29.20,82.20,4.11,15,"70

",,,,
2019-11-21 01:08:08 +08,446,29.20,82.20,4.40,15,"70

",,,,
2019-11-21 01:09:10 +08,447,29.20,82.20,4.50,15,"70

",,,,
2019-11-21 01:10:11 +08,448,29.20,82.20,4.69,15,"70

",,,,
2019-11-21 01:17:26 +08,449,29.10,82.10,4.01,15,"70

",,,,
2019-11-21 01:18:28 +08,450,29.10,82.20,3.52,15,"70

",,,,
2019-11-21 01:20:30 +08,451,29.10,82.40,3.32,15,"70

",,,,
2019-11-21 01:21:31 +08,452,29.10,82.40,3.23,15,"70

",,,,
2019-11-21 01:22:33 +08,453,29.10,82.40,3.52,15,"70

",,,,
2019-11-21 01:23:34 +08,454,29.10,82.40,4.20,15,"70

",,,,
2019-11-21 01:27:45 +08,455,29.10,82.40,4.69,15,"70

",,,,
2019-11-21 01:28:47 +08,456,29.10,82.40,4.01,15,"70

",,,,
2019-11-21 01:30:49 +08,457,29.10,82.30,4.01,15,"70

",,,,
2019-11-21 01:31:51 +08,458,29.10,82.40,4.01,15,"70

",,,,
2019-11-21 01:34:58 +08,459,29.10,82.40,3.71,15,"70

",,,,
2019-11-21 01:35:59 +08,460,29.10,82.40,3.62,15,"70

",,,,
2019-11-21 01:38:02 +08,461,29.10,82.40,3.23,15,"70

",,,,
2019-11-21 01:39:03 +08,462,29.10,82.40,3.23,15,"70

",,,,
2019-11-21 01:40:05 +08,463,29.10,82.40,3.23,15,"70

",,,,
2019-11-21 01:41:06 +08,464,29.10,82.40,3.13,15,"70

",,,,
2019-11-21 01:43:09 +08,465,29.10,82.30,4.01,15,"70

",,,,
2019-11-21 01:45:12 +08,466,29.10,82.40,3.52,15,"70

",,,,
2019-11-21 01:48:15 +08,467,29.10,82.40,3.71,15,"70

",,,,
2019-11-21 01:49:17 +08,468,29.10,82.40,3.62,15,"70

",,,,
2019-11-21 01:50:18 +08,469,29.10,82.40,3.62,15,"70

",,,,
2019-11-21 01:52:20 +08,470,29.10,82.40,3.62,15,"70

",,,,
2019-11-21 01:53:22 +08,471,29.10,82.40,3.62,15,"70

",,,,
2019-11-21 01:54:23 +08,472,29.10,82.40,3.52,15,"70

",,,,
2019-11-21 01:56:26 +08,473,29.10,82.30,3.52,15,"70

",,,,
2019-11-21 01:58:28 +08,474,29.10,82.30,3.52,15,"70

",,,,
2019-11-21 02:00:30 +08,475,29.10,82.30,3.32,15,"70

",,,,
2019-11-21 02:01:32 +08,476,29.10,82.20,3.23,15,"70

",,,,
2019-11-21 02:03:34 +08,477,29.10,82.30,3.23,15,"70

",,,,
2019-11-21 02:04:36 +08,478,29.00,82.30,4.01,15,"70

",,,,
2019-11-21 02:06:38 +08,479,29.00,82.20,3.23,15,"70

",,,,
2019-11-21 02:07:39 +08,480,29.00,82.20,3.23,15,"70

",,,,
2019-11-21 02:11:46 +08,481,29.00,82.20,3.23,15,"70

",,,,
2019-11-21 02:22:12 +08,482,29.00,82.10,3.52,15,"70

",,,,
2019-11-21 02:23:13 +08,483,29.00,82.10,3.62,15,"70

",,,,
2019-11-21 02:28:20 +08,484,29.00,82.10,4.01,15,"70

",,,,
2019-11-21 02:29:22 +08,485,29.00,82.10,3.23,15,"70

",,,,
2019-11-21 02:31:25 +08,486,29.00,82.10,3.23,15,"70

",,,,
2019-11-21 02:32:26 +08,487,29.00,82.10,4.01,15,"70

",,,,
2019-11-21 02:34:31 +08,488,29.00,82.10,3.23,15,"70

",,,,
2019-11-21 02:35:33 +08,489,29.10,82.10,3.23,15,"70

",,,,
2019-11-21 02:36:34 +08,490,29.00,82.10,3.52,15,"70

",,,,
2019-11-21 02:39:38 +08,491,29.10,82.10,3.91,15,"70

",,,,
2019-11-21 02:42:42 +08,492,29.00,82.10,4.01,15,"70

",,,,
2019-11-21 02:43:43 +08,493,29.00,82.10,4.11,15,"70

",,,,
2019-11-21 02:44:44 +08,494,29.00,82.10,4.11,15,"70

",,,,
2019-11-21 02:46:47 +08,495,29.00,82.00,4.20,15,"70

",,,,
2019-11-21 02:47:48 +08,496,29.00,82.10,4.40,15,"70

",,,,
2019-11-21 02:48:50 +08,497,29.00,82.10,4.40,15,"70

",,,,
2019-11-21 02:49:51 +08,498,29.00,82.10,5.08,15,"70

",,,,
2019-11-21 02:50:52 +08,499,29.00,82.10,4.69,15,"70

",,,,
2019-11-21 02:51:54 +08,500,29.00,82.10,4.69,15,"70

",,,,
2019-11-21 02:52:55 +08,501,29.00,82.10,4.69,15,"70

",,,,
2019-11-21 02:53:57 +08,502,29.00,82.10,4.69,15,"70

",,,,
2019-11-21 02:54:58 +08,503,29.00,82.10,5.38,15,"70

",,,,
2019-11-21 02:55:59 +08,504,29.00,82.10,4.79,15,"70

",,,,
2019-11-21 02:57:00 +08,505,29.00,82.10,6.45,15,"70

",,,,
2019-11-21 02:58:02 +08,506,29.00,82.10,4.79,15,"70

",,,,
2019-11-21 03:00:04 +08,507,29.00,82.10,4.50,15,"70

",,,,
2019-11-21 03:01:06 +08,508,29.00,82.10,4.40,15,"70

",,,,
2019-11-21 03:02:07 +08,509,29.00,82.10,4.20,15,"70

",,,,
2019-11-21 03:04:09 +08,510,29.00,82.10,4.30,15,"70

",,,,
2019-11-21 03:05:11 +08,511,29.00,82.10,4.20,15,"70

",,,,
2019-11-21 03:06:12 +08,512,29.00,82.10,4.20,15,"70

",,,,
2019-11-21 03:07:15 +08,513,29.00,82.10,4.99,15,"70

",,,,
2019-11-21 03:08:16 +08,514,28.90,82.00,4.30,15,"70

",,,,
2019-11-21 03:09:17 +08,515,28.90,82.00,4.20,15,"70

",,,,
2019-11-21 03:10:19 +08,516,29.00,82.10,4.20,15,"70

",,,,
2019-11-21 03:11:20 +08,517,29.00,82.10,4.20,15,"70

",,,,
2019-11-21 03:12:21 +08,518,28.90,81.90,4.99,15,"70

",,,,
2019-11-21 03:14:24 +08,519,28.90,82.00,4.01,15,"70

",,,,
2019-11-21 03:17:28 +08,520,28.90,82.00,4.01,15,"70

",,,,
2019-11-21 03:18:30 +08,521,28.90,81.90,3.91,15,"70

",,,,
2019-11-21 03:19:31 +08,522,28.90,82.00,3.91,15,"70

",,,,
2019-11-21 03:21:33 +08,523,28.90,82.00,4.01,15,"70

",,,,
2019-11-21 03:22:35 +08,524,28.90,82.00,3.91,15,"70

",,,,
2019-11-21 03:23:36 +08,525,28.90,81.90,3.91,15,"70

",,,,
2019-11-21 03:25:39 +08,526,28.90,81.90,3.91,15,"70

",,,,
2019-11-21 03:26:40 +08,527,28.90,82.00,3.91,15,"70

",,,,
2019-11-21 03:27:41 +08,528,28.90,82.00,3.91,15,"70

",,,,
2019-11-21 03:28:43 +08,529,28.90,81.90,3.91,15,"70

",,,,
2019-11-21 03:29:45 +08,530,28.90,82.00,4.69,15,"70

",,,,
2019-11-21 03:30:47 +08,531,28.90,82.00,4.01,15,"70

",,,,
2019-11-21 03:31:49 +08,532,28.90,82.00,4.01,15,"70

",,,,
2019-11-21 03:32:50 +08,533,28.90,82.00,4.01,15,"70

",,,,
2019-11-21 03:34:53 +08,534,28.90,82.00,4.01,15,"70

",,,,
2019-11-21 03:35:54 +08,535,28.90,81.90,4.01,15,"70

",,,,
2019-11-21 03:39:01 +08,536,28.80,81.90,4.01,15,"70

",,,,
2019-11-21 03:40:03 +08,537,28.90,81.90,3.91,15,"70

",,,,
2019-11-21 03:41:04 +08,538,28.90,81.90,3.91,15,"70

",,,,
2019-11-21 03:43:06 +08,539,28.90,81.90,3.91,15,"70

",,,,
2019-11-21 03:44:08 +08,540,28.90,81.90,3.91,15,"70

",,,,
2019-11-21 03:45:09 +08,541,28.90,81.80,3.91,15,"70

",,,,
2019-11-21 03:46:10 +08,542,28.80,81.70,3.81,15,"70

",,,,
2019-11-21 03:48:17 +08,543,28.80,81.70,3.71,15,"70

",,,,
2019-11-21 03:49:21 +08,544,28.90,81.80,3.71,15,"70

",,,,
2019-11-21 03:50:23 +08,545,28.80,81.70,3.71,15,"70

",,,,
2019-11-21 03:52:25 +08,546,28.80,81.70,3.52,15,"70

",,,,
2019-11-21 03:53:27 +08,547,28.80,81.70,3.52,15,"70

",,,,
2019-11-21 03:54:28 +08,548,28.80,81.70,3.52,15,"70

",,,,
2019-11-21 03:56:30 +08,549,28.80,81.70,3.23,15,"70

",,,,
2019-11-21 03:57:32 +08,550,28.80,81.70,3.23,15,"70

",,,,
2019-11-21 03:58:33 +08,551,28.80,81.70,3.23,15,"70

",,,,
2019-11-21 04:00:36 +08,552,28.80,81.70,3.23,15,"70

",,,,
2019-11-21 04:01:37 +08,553,28.80,81.70,3.23,15,"70

",,,,
2019-11-21 04:04:40 +08,554,28.80,81.80,3.23,15,"70

",,,,
2019-11-21 04:05:42 +08,555,28.80,81.80,3.23,15,"70

",,,,
2019-11-21 04:07:44 +08,556,28.80,81.70,3.23,15,"70

",,,,
2019-11-21 04:08:46 +08,557,28.80,81.70,4.01,15,"70

",,,,
2019-11-21 04:10:48 +08,558,28.80,81.70,3.32,15,"70

",,,,
2019-11-21 04:11:49 +08,559,28.80,81.70,3.32,15,"70

",,,,
2019-11-21 04:12:51 +08,560,28.80,81.70,4.11,15,"70

",,,,
2019-11-21 04:14:53 +08,561,28.80,81.70,3.52,15,"70

",,,,
2019-11-21 04:15:55 +08,562,28.80,81.60,3.52,15,"70

",,,,
2019-11-21 04:17:57 +08,563,28.80,81.60,3.62,15,"70

",,,,
2019-11-21 04:18:58 +08,564,28.80,81.60,3.62,15,"70

",,,,
2019-11-21 04:20:00 +08,565,28.80,81.60,3.62,15,"70

",,,,
2019-11-21 04:21:01 +08,566,28.80,81.60,3.62,15,"70

",,,,
2019-11-21 04:24:05 +08,567,28.80,81.60,3.71,15,"70

",,,,
2019-11-21 04:25:06 +08,568,28.80,81.60,3.71,15,"70

",,,,
2019-11-21 04:27:09 +08,569,28.80,81.60,3.62,15,"70

",,,,
2019-11-21 04:28:10 +08,570,28.80,81.60,3.62,15,"70

",,,,
2019-11-21 04:29:11 +08,571,28.80,81.60,3.62,15,"70

",,,,
2019-11-21 04:31:14 +08,572,28.80,81.50,3.62,15,"70

",,,,
2019-11-21 04:32:15 +08,573,28.80,81.60,3.62,15,"70

",,,,
2019-11-21 04:33:16 +08,574,28.80,81.60,3.62,15,"70

",,,,
2019-11-21 04:34:18 +08,575,28.80,81.60,4.11,15,"70

",,,,
2019-11-21 04:36:20 +08,576,28.80,81.50,3.62,15,"70

",,,,
2019-11-21 04:37:22 +08,577,28.80,81.50,3.62,15,"70

",,,,
2019-11-21 04:38:23 +08,578,28.80,81.50,3.62,15,"70

",,,,
2019-11-21 04:39:24 +08,579,28.80,81.50,4.11,15,"70

",,,,
2019-11-21 04:40:26 +08,580,28.70,81.30,3.62,15,"70

",,,,
2019-11-21 04:41:27 +08,581,28.70,81.30,3.62,15,"70

",,,,
2019-11-21 04:42:28 +08,582,28.70,81.40,3.62,15,"70

",,,,
2019-11-21 04:44:31 +08,583,28.70,81.40,3.62,15,"70

",,,,
2019-11-21 04:45:33 +08,584,28.70,81.40,3.62,15,"70

",,,,
2019-11-21 04:48:36 +08,585,28.70,81.40,3.62,15,"70

",,,,
2019-11-21 04:49:38 +08,586,28.70,81.50,3.62,15,"70

",,,,
2019-11-21 04:50:39 +08,587,28.70,81.50,3.62,15,"70

",,,,
2019-11-21 04:52:41 +08,588,28.70,81.50,3.71,15,"70

",,,,
2019-11-21 04:53:43 +08,589,28.80,81.60,3.71,15,"70

",,,,
2019-11-21 04:54:47 +08,590,28.80,81.60,3.71,15,"70

",,,,
2019-11-21 04:55:48 +08,591,28.80,81.60,3.71,15,"70

",,,,
2019-11-21 04:56:50 +08,592,28.70,81.50,4.40,15,"70

",,,,
2019-11-21 04:57:51 +08,593,28.80,81.60,3.71,15,"70

",,,,
2019-11-21 04:58:52 +08,594,28.70,81.50,3.81,15,"70

",,,,
2019-11-21 04:59:54 +08,595,28.70,81.50,3.91,15,"70

",,,,
2019-11-21 05:00:55 +08,596,28.70,81.50,4.50,15,"70

",,,,
2019-11-21 05:01:59 +08,597,28.70,81.50,3.91,15,"70

",,,,
2019-11-21 05:03:00 +08,598,28.70,81.50,3.91,15,"70

",,,,
2019-11-21 05:04:02 +08,599,28.70,81.50,3.91,15,"70

",,,,
2019-11-21 05:06:04 +08,600,28.70,81.60,3.91,15,"70

",,,,
2019-11-21 05:07:05 +08,601,28.70,81.50,3.91,15,"70

",,,,
2019-11-21 05:08:07 +08,602,28.70,81.50,3.91,15,"70

",,,,
2019-11-21 05:09:08 +08,603,28.70,81.50,4.50,15,"70

",,,,
2019-11-21 05:10:09 +08,604,28.70,81.50,3.91,15,"70

",,,,
2019-11-21 05:11:11 +08,605,28.80,81.60,3.91,15,"70

",,,,
2019-11-21 05:12:12 +08,606,28.70,81.40,3.91,15,"70

",,,,
2019-11-21 05:13:13 +08,607,28.70,81.50,3.91,15,"70

",,,,
2019-11-21 05:14:15 +08,608,28.70,81.50,4.50,15,"70

",,,,
2019-11-21 05:15:16 +08,609,28.70,81.40,3.71,15,"70

",,,,
2019-11-21 05:16:17 +08,610,28.70,81.50,3.71,15,"70

",,,,
2019-11-21 05:19:21 +08,611,28.70,81.50,3.62,15,"70

",,,,
2019-11-21 05:20:22 +08,612,28.70,81.50,3.62,15,"70

",,,,
2019-11-21 05:21:24 +08,613,28.70,81.50,3.52,15,"70

",,,,
2019-11-21 05:24:32 +08,614,28.70,81.40,3.52,15,"70

",,,,
2019-11-21 05:25:33 +08,615,28.70,81.40,3.52,15,"70

",,,,
2019-11-21 05:27:35 +08,616,28.70,81.40,3.52,15,"70

",,,,
2019-11-21 05:28:37 +08,617,28.70,81.40,3.52,15,"70

",,,,
2019-11-21 05:29:38 +08,618,28.70,81.40,3.52,15,"70

",,,,
2019-11-21 05:32:42 +08,619,28.70,81.40,3.62,15,"70

",,,,
2019-11-21 05:33:43 +08,620,28.70,81.40,3.62,15,"70

",,,,
2019-11-21 05:34:45 +08,621,28.70,81.40,3.62,15,"70

",,,,
2019-11-21 05:35:46 +08,622,28.70,81.40,3.62,15,"70

",,,,
2019-11-21 05:37:49 +08,623,28.70,81.40,3.62,15,"70

",,,,
2019-11-21 05:38:50 +08,624,28.70,81.40,3.62,15,"70

",,,,
2019-11-21 05:40:56 +08,625,28.70,81.40,3.62,15,"70

",,,,
2019-11-21 05:41:57 +08,626,28.70,81.40,3.62,15,"70

",,,,
2019-11-21 05:42:59 +08,627,28.70,81.40,3.62,15,"70

",,,,
2019-11-21 05:45:01 +08,628,28.70,81.40,3.62,15,"70

",,,,
2019-11-21 05:47:04 +08,629,28.70,81.40,3.62,15,"70

",,,,
2019-11-21 05:48:05 +08,630,28.70,81.40,4.11,15,"70

",,,,
2019-11-21 05:49:06 +08,631,28.70,81.40,3.62,15,"70

",,,,
2019-11-21 05:50:08 +08,632,28.70,81.30,3.62,15,"70

",,,,
2019-11-21 05:51:09 +08,633,28.70,81.30,3.62,15,"70

",,,,
2019-11-21 05:52:10 +08,634,28.70,81.30,3.62,15,"70

",,,,
2019-11-21 05:54:13 +08,635,28.70,81.40,3.62,15,"70

",,,,
2019-11-21 05:55:14 +08,636,28.70,81.40,3.62,15,"70

",,,,
2019-11-21 05:56:15 +08,637,28.60,81.30,3.62,15,"70

",,,,
2019-11-21 05:58:18 +08,638,28.60,81.40,3.62,15,"70

",,,,
2019-11-21 05:59:19 +08,639,28.60,81.40,3.62,15,"70

",,,,
2019-11-21 06:00:21 +08,640,28.60,81.40,3.62,15,"70

",,,,
2019-11-21 06:02:23 +08,641,28.60,81.40,3.62,15,"70

",,,,
2019-11-21 06:03:24 +08,642,28.60,81.40,3.62,15,"70

",,,,
2019-11-21 06:04:26 +08,643,28.60,81.40,3.62,15,"70

",,,,
2019-11-21 06:05:27 +08,644,28.60,81.40,3.62,15,"70

",,,,
2019-11-21 06:07:30 +08,645,28.60,81.50,3.62,15,"70

",,,,
2019-11-21 06:09:32 +08,646,28.60,81.50,3.62,15,"70

",,,,
2019-11-21 06:11:35 +08,647,28.60,81.50,3.62,15,"70

",,,,
2019-11-21 06:12:36 +08,648,28.60,81.50,3.62,15,"70

",,,,
2019-11-21 06:15:40 +08,649,28.60,81.50,3.62,15,"70

",,,,
2019-11-21 06:16:41 +08,650,28.60,81.50,3.62,15,"70

",,,,
2019-11-21 06:17:42 +08,651,28.60,81.50,3.62,15,"70

",,,,
2019-11-21 06:18:44 +08,652,28.60,81.50,4.11,15,"70

",,,,
2019-11-21 06:19:45 +08,653,28.60,81.50,3.52,15,"70

",,,,
2019-11-21 06:20:47 +08,654,28.60,81.50,3.52,15,"70

",,,,
2019-11-21 06:21:48 +08,655,28.60,81.60,3.52,15,"70

",,,,
2019-11-21 06:22:49 +08,656,28.60,81.60,3.52,15,"70

",,,,
2019-11-21 06:24:52 +08,657,28.60,81.60,3.52,15,"70

",,,,
2019-11-21 06:25:53 +08,658,28.60,81.60,3.52,15,"70

",,,,
2019-11-21 06:26:54 +08,659,28.60,81.70,3.52,15,"70

",,,,
2019-11-21 06:27:56 +08,660,28.60,81.70,4.11,15,"70

",,,,
2019-11-21 06:28:57 +08,661,28.60,81.70,3.52,15,"70

",,,,
2019-11-21 06:29:58 +08,662,28.60,81.70,3.52,15,"70

",,,,
2019-11-21 06:31:00 +08,663,28.60,81.60,3.52,15,"70

",,,,
2019-11-21 06:32:01 +08,664,28.60,81.70,4.11,15,"70

",,,,
2019-11-21 06:33:02 +08,665,28.60,81.70,3.52,15,"70

",,,,
2019-11-21 06:34:04 +08,666,28.60,81.70,3.52,15,"70

",,,,
2019-11-21 06:35:05 +08,667,28.60,81.70,3.52,15,"70

",,,,
2019-11-21 06:36:07 +08,668,28.60,81.70,4.11,15,"70

",,,,
2019-11-21 06:38:09 +08,669,28.60,81.70,3.62,15,"70

",,,,
2019-11-21 06:39:10 +08,670,28.60,81.70,3.62,15,"70

",,,,
2019-11-21 06:40:12 +08,671,28.60,81.70,3.62,15,"70

",,,,
2019-11-21 06:42:14 +08,672,28.60,81.70,3.62,15,"70

",,,,
2019-11-21 06:43:16 +08,673,28.60,81.70,3.62,15,"70

",,,,
2019-11-21 06:44:17 +08,674,28.60,81.70,3.62,15,"70

",,,,
2019-11-21 06:45:18 +08,675,28.60,81.70,3.62,15,"70

",,,,
2019-11-21 06:46:20 +08,676,28.60,81.70,3.62,15,"70

",,,,
2019-11-21 06:47:21 +08,677,28.60,81.70,3.62,15,"70

",,,,
2019-11-21 06:48:22 +08,678,28.60,81.70,3.52,15,"70

",,,,
2019-11-21 06:49:24 +08,679,28.60,81.70,3.62,15,"70

",,,,
2019-11-21 06:50:25 +08,680,28.60,81.70,4.11,15,"70

",,,,
2019-11-21 06:51:26 +08,681,28.60,81.70,3.62,15,"70

",,,,
2019-11-21 06:52:28 +08,682,28.60,81.70,3.62,15,"70

",,,,
2019-11-21 06:53:29 +08,683,28.60,81.70,3.62,15,"70

",,,,
2019-11-21 06:55:34 +08,684,28.60,81.70,3.62,15,"70

",,,,
2019-11-21 06:56:36 +08,685,28.60,81.70,3.62,15,"70

",,,,
2019-11-21 06:57:37 +08,686,28.60,81.70,3.62,15,"70

",,,,
2019-11-21 06:58:38 +08,687,28.50,81.70,4.20,15,"70

",,,,
2019-11-21 06:59:40 +08,688,28.50,81.70,3.62,15,"70

",,,,
2019-11-21 07:00:41 +08,689,28.50,81.60,3.62,15,"70

",,,,
2019-11-21 07:02:43 +08,690,28.50,81.50,3.62,15,"70

",,,,
2019-11-21 07:03:45 +08,691,28.50,81.60,4.40,15,"70

",,,,
2019-11-21 07:05:47 +08,692,28.50,81.70,4.40,15,"70

",,,,
2019-11-21 07:06:49 +08,693,28.50,81.70,4.79,15,"70

",,,,
2019-11-21 07:07:50 +08,694,28.50,81.70,5.38,15,"70

",,,,
2019-11-21 07:08:52 +08,695,28.50,81.70,4.69,15,"70

",,,,
2019-11-21 07:10:54 +08,696,28.50,81.70,4.40,15,"70

",,,,
2019-11-21 07:12:56 +08,697,28.50,81.70,4.40,15,"70

",,,,
